O*NET-SOC Code	Task ID	Task	Task Type	Incumbents Responding	Date	Domain Source
27-1014.00	6893	Participate in design and production of multimedia campaigns, handling budgeting and scheduling, and assisting with such responsibilities as production coordination, background design, and progress tracking.	Core	62.0	08/2019	Incumbent
27-1014.00	6883	Create two-dimensional and three-dimensional images depicting objects in motion or illustrating a process, using computer animation or modeling programs.	Core	62.0	08/2019	Incumbent
27-1014.00	6884	Make objects or characters appear lifelike by manipulating light, color, texture, shadow, and transparency, or manipulating static images to give the illusion of motion.	Core	62.0	08/2019	Incumbent
27-1014.00	6886	Apply story development, directing, cinematography, and editing to animation to create storyboards that show the flow of the animation and map out key scenes and characters.	Core	61.0	08/2019	Incumbent
27-1021.00	6896	Prepare sketches of ideas, detailed drawings, illustrations, artwork, or blueprints, using drafting instruments, paints and brushes, or computer-aided design equipment.	Core	55.0	08/2019	Incumbent
27-1021.00	6898	Modify and refine designs, using working models, to conform with customer specifications, production limitations, or changes in design trends.	Core	55.0	08/2019	Incumbent
27-1021.00	6902	Evaluate feasibility of design ideas, based on factors such as appearance, safety, function, serviceability, budget, production costs/methods, and market characteristics.	Core	55.0	08/2019	Incumbent
27-1021.00	6900	Confer with engineering, marketing, production, or sales departments, or with customers, to establish and evaluate design concepts for manufactured products.	Core	55.0	08/2019	Incumbent
27-1021.00	6901	Present designs and reports to customers or design committees for approval and discuss need for modification.	Core	55.0	08/2019	Incumbent
27-1021.00	6904	Research production specifications, costs, production materials, and manufacturing methods and provide cost estimates and itemized production requirements.	Core	55.0	08/2019	Incumbent
27-1021.00	6897	Direct and coordinate the fabrication of models or samples and the drafting of working drawings and specification sheets from sketches.	Core	55.0	08/2019	Incumbent
27-1021.00	6909	Investigate product characteristics such as the product's safety and handling qualities, its market appeal, how efficiently it can be produced, and ways of distributing, using, and maintaining it.	Core	54.0	08/2019	Incumbent
27-1021.00	6906	Develop manufacturing procedures and monitor the manufacture of their designs in a factory to improve operations and product quality.	Core	54.0	08/2019	Incumbent
27-1021.00	6903	Read publications, attend showings, and study competing products and design styles and motifs to obtain perspective and generate design concepts.	Core	55.0	08/2019	Incumbent
27-1022.00	13015	Sketch rough and detailed drawings of apparel or accessories, and write specifications such as color schemes, construction, material types, and accessory requirements.	Core	59.0	08/2024	Incumbent
27-1022.00	13014	Examine sample garments on and off models, modifying designs to achieve desired effects.	Core	59.0	08/2024	Incumbent
27-1022.00	13016	Confer with sales and management executives or with clients to discuss design ideas.	Core	59.0	08/2024	Incumbent
27-1022.00	13019	Select materials and production techniques to be used for products.	Core	59.0	08/2024	Incumbent
27-1022.00	13020	Provide sample garments to agents and sales representatives, and arrange for showings of sample garments at sales meetings or fashion shows.	Core	59.0	08/2024	Incumbent
27-1022.00	13013	Direct and coordinate workers involved in drawing and cutting patterns and constructing samples or finished garments.	Core	57.0	08/2024	Incumbent
27-1022.00	13017	Identify target markets for designs, looking at factors such as age, gender, and socioeconomic status.	Core	59.0	08/2024	Incumbent
27-1022.00	13024	Collaborate with other designers to coordinate special products and designs.	Core	59.0	08/2024	Incumbent
27-1022.00	13022	Purchase new or used clothing and accessory items as needed to complete designs.	Core	59.0	08/2024	Incumbent
27-1022.00	13023	Visit textile showrooms to keep up-to-date on the latest fabrics.	Core	59.0	08/2024	Incumbent
27-1023.00	1719	Confer with clients regarding price and type of arrangement desired and the date, time, and place of delivery.	Core	49.0	07/2015	Incumbent
27-1023.00	1722	Select flora and foliage for arrangements, working with numerous combinations to synthesize and develop new creations.	Core	50.0	07/2015	Incumbent
27-1023.00	1723	Order and purchase flowers and supplies from wholesalers and growers.	Core	50.0	07/2015	Incumbent
27-1023.00	1720	Plan arrangement according to client's requirements, using knowledge of design and properties of materials, or select appropriate standard design pattern.	Core	50.0	07/2015	Incumbent
27-1023.00	1721	Water plants, and cut, condition, and clean flowers and foliage for storage.	Core	49.0	07/2015	Incumbent
27-1023.00	1725	Trim material and arrange bouquets, wreaths, terrariums, and other items, using trimmers, shapers, wire, pins, floral tape, foam, and other materials.	Core	49.0	07/2015	Incumbent
27-1023.00	1724	Wrap and price completed arrangements.	Core	50.0	07/2015	Incumbent
27-1023.00	1730	Unpack stock as it comes into the shop.	Core	49.0	07/2015	Incumbent
27-1023.00	1731	Create and change in-store and window displays, designs, and looks to enhance a shop's image.	Core	50.0	07/2015	Incumbent
27-1023.00	1729	Perform general cleaning duties in the store to ensure the shop is clean and tidy.	Core	50.0	07/2015	Incumbent
27-1026.00	9263	Plan commercial displays to entice and appeal to customers.	Core	64.0	07/2015	Incumbent
27-1026.00	9269	Arrange properties, furniture, merchandise, backdrops, or other accessories, as shown in prepared sketches.	Core	65.0	07/2015	Incumbent
27-1026.00	9265	Change or rotate window displays, interior display areas, or signage to reflect changes in inventory or promotion.	Core	65.0	07/2015	Incumbent
27-1026.00	9264	Place prices or descriptive signs on backdrops, fixtures, merchandise, or floor.	Core	63.0	07/2015	Incumbent
27-1026.00	20752	Consult with store managers, buyers, sales associates, housekeeping staff, or engineering staff to determine appropriate placement of displays or products.	Core	66.0	07/2015	Incumbent
27-1026.00	9267	Develop ideas or plans for merchandise displays or window decorations.	Core	64.0	07/2015	Incumbent
27-1026.00	20754	Assemble or set up displays, furniture, or products in store space, using colors, lights, pictures, or other accessories to display the product.	Core	66.0	07/2015	Incumbent
27-1026.00	9281	Install booths, exhibits, displays, carpets, or drapes, as guided by floor plan of building or specifications.	Core	64.0	07/2015	Incumbent
27-1026.00	9275	Select themes, lighting, colors, or props to be used.	Core	64.0	07/2015	Incumbent
27-1026.00	9262	Take photographs of displays or signage.	Core	66.0	07/2015	Incumbent
27-2011.00	7646	Collaborate with other actors as part of an ensemble.	Core	50.0	07/2017	Incumbent
27-2011.00	7649	Portray and interpret roles, using speech, gestures, and body movements, to entertain, inform, or instruct radio, film, television, or live audiences.	Core	50.0	07/2017	Incumbent
27-2011.00	7644	Work closely with directors, other actors, and playwrights to find the interpretation most suited to the role.	Core	50.0	07/2017	Incumbent
27-2011.00	7647	Perform humorous and serious interpretations of emotions, actions, and situations, using body movements, facial expressions, and gestures.	Core	50.0	07/2017	Incumbent
27-2011.00	7643	Study and rehearse roles from scripts to interpret, learn and memorize lines, stunts, and cues as directed.	Core	50.0	07/2017	Incumbent
27-2011.00	7645	Learn about characters in scripts and their relationships to each other to develop role interpretations.	Core	50.0	07/2017	Incumbent
27-2011.00	7648	Attend auditions and casting calls to audition for roles.	Core	50.0	07/2017	Incumbent
27-2011.00	7651	Sing or dance during dramatic or comedic performances.	Core	50.0	07/2017	Incumbent
27-2011.00	7650	Work with other crew members responsible for lighting, costumes, make-up, and props.	Core	50.0	07/2017	Incumbent
27-2011.00	7653	Promote productions using means such as interviews about plays or movies.	Core	49.0	07/2017	Incumbent
27-2012.00	22515	Plan details such as framing, composition, camera movement, sound, and actor movement for each shot or scene.	Core	49.0	08/2022	Incumbent
27-2012.00	22517	Direct live broadcasts, films and recordings, or non-broadcast programming for public entertainment or education.	Core	49.0	08/2022	Incumbent
27-2012.00	22522	Research production topics using the internet, video archives, and other informational sources.	Core	62.0	08/2022	Incumbent
27-2012.00	22523	Review film, recordings, or rehearsals to ensure conformance to production and broadcast standards.	Core	62.0	08/2022	Incumbent
27-2012.00	22519	Study and research scripts to determine how they should be directed.	Core	48.0	08/2022	Incumbent
27-2012.00	22521	Confer with technical directors, managers, crew members, and writers to discuss details of production, such as photography, script, music, sets, and costumes.	Core	48.0	08/2022	Incumbent
27-2012.00	22524	"Consult with writers, producers, or actors about script changes or ""workshop"" scripts, through rehearsal with writers and actors to create final drafts."	Core	49.0	08/2022	Incumbent
27-2012.00	22525	Identify and approve equipment and elements required for productions, such as scenery, lights, props, costumes, choreography, and music.	Core	49.0	08/2022	Incumbent
27-2012.00	22526	Establish pace of programs and sequences of scenes according to time requirements and cast and set accessibility.	Core	48.0	08/2022	Incumbent
27-2012.00	22527	Conduct meetings with staff to discuss production progress and to ensure production objectives are attained.	Core	62.0	08/2022	Incumbent
27-2012.03	7680	Operate and maintain on-air and production audio equipment.	Core	59.0	08/2023	Incumbent
27-2012.03	7665	Check completed program logs for accuracy and conformance with Federal Communications Commission (FCC) rules and regulations and resolve program log inaccuracies.	Core	59.0	08/2023	Incumbent
27-2012.03	7679	Read news, read or record public service and promotional announcements, or perform other on-air duties.	Core	58.0	08/2023	Incumbent
27-2012.03	7664	Direct and coordinate activities of personnel engaged in broadcast news, sports, or programming.	Core	58.0	08/2023	Incumbent
27-2012.03	7663	Monitor and review programming to ensure that schedules are met, guidelines are adhered to, and performances are of adequate quality.	Core	58.0	08/2023	Incumbent
27-2012.03	7675	Prepare copy and edit tape so that material is ready for broadcasting.	Core	58.0	08/2023	Incumbent
27-2012.03	7667	Coordinate activities between departments, such as news and programming.	Core	58.0	08/2023	Incumbent
27-2012.03	7674	Develop promotions for current programs and specials.	Core	57.0	08/2023	Incumbent
27-2012.03	7662	Plan and schedule programming and event coverage, based on broadcast length, time availability, and other factors, such as community needs, ratings data, and viewer demographics.	Core	58.0	08/2023	Incumbent
27-2012.03	7673	Monitor network transmissions for advisories concerning daily program schedules, program content, special feeds, or program changes.	Core	58.0	08/2023	Incumbent
27-2012.04	11018	Audition and interview performers to match their attributes to specific roles or to increase the pool of available acting talent.	Core	65.0	08/2019	Incumbent
27-2012.04	11020	Prepare actors for auditions by providing scripts and information about roles and casting requirements.	Core	64.0	08/2019	Incumbent
27-2012.04	11017	Select performers for roles or submit lists of suitable performers to producers or directors for final selection.	Core	62.0	08/2019	Incumbent
27-2012.04	11024	Contact agents and actors to provide notification of audition and performance opportunities and to set up audition times.	Core	63.0	08/2019	Incumbent
27-2012.04	11021	Serve as liaisons between directors, actors, and agents.	Core	63.0	08/2019	Incumbent
27-2012.04	11023	Negotiate contract agreements with performers, with agents, or between performers and agents or production companies.	Core	65.0	08/2019	Incumbent
27-2012.04	11026	Arrange for or design screen tests or auditions for prospective performers.	Core	65.0	08/2019	Incumbent
27-2012.04	11015	Review performer information, such as photos, resumes, voice tapes, videos, and union membership, to decide whom to audition for parts.	Core	63.0	08/2019	Incumbent
27-2012.04	11019	Maintain talent files that include information such as performers' specialties, past performances, and availability.	Core	65.0	08/2019	Incumbent
27-2012.04	11016	Read scripts and confer with producers to determine the types and numbers of performers required for a given production.	Core	64.0	08/2019	Incumbent
27-2012.05	3904	Switch between video sources in a studio or on multi-camera remotes, using equipment such as switchers, video slide projectors, and video effects generators.	Core	49.0	08/2019	Incumbent
27-2012.05	3897	Observe pictures through monitors and direct camera and video staff concerning shading and composition.	Core	49.0	08/2019	Incumbent
27-2012.05	3899	Supervise and assign duties to workers engaged in technical control and production of radio and television programs.	Core	48.0	08/2019	Incumbent
27-2012.05	3896	Monitor broadcasts to ensure that programs conform to station or network policies and regulations.	Core	49.0	08/2019	Incumbent
27-2012.05	3902	Operate equipment to produce programs or broadcast live programs from remote locations.	Core	49.0	08/2019	Incumbent
27-2012.05	3895	Test equipment to ensure proper operation.	Core	49.0	08/2019	Incumbent
27-2012.05	3903	Train workers in use of equipment, such as switchers, cameras, monitors, microphones, and lights.	Core	49.0	08/2019	Incumbent
27-2012.05	3898	Act as liaisons between engineering and production departments.	Core	49.0	08/2019	Incumbent
27-2021.00	13038	Assess performance following athletic competition, identifying strengths and weaknesses and making adjustments to improve future performance.	Core	70.0	07/2016	Incumbent
27-2021.00	13036	Maintain equipment used in a particular sport.	Core	70.0	07/2016	Incumbent
27-2021.00	13033	Attend scheduled practice or training sessions.	Core	70.0	07/2016	Incumbent
27-2021.00	13037	Maintain optimum physical fitness levels by training regularly, following nutrition plans, or consulting with health professionals.	Core	70.0	07/2016	Incumbent
27-2021.00	13034	Participate in athletic events or competitive sports, according to established rules and regulations.	Core	69.0	07/2016	Incumbent
27-2021.00	13035	Exercise or practice under the direction of athletic trainers or professional coaches to develop skills, improve physical condition, or prepare for competitions.	Core	70.0	07/2016	Incumbent
27-2021.00	20882	Receive instructions from coaches or other sports staff prior to events and discuss performance afterwards.	Core	69.0	07/2016	Incumbent
27-2021.00	13040	Represent teams or professional sports clubs, performing such activities as meeting with members of the media, making speeches, or participating in charity events.	Core	70.0	07/2016	Incumbent
27-2021.00	13041	Lead teams by serving as captain.	Core	70.0	07/2016	Incumbent
27-2022.00	1742	Plan, organize, and conduct practice sessions.	Core	108.0	08/2019	Incumbent
27-2022.00	20109	Provide training direction, encouragement, motivation, and nutritional advice to prepare athletes for games, competitive events, or tours.	Core	108.0	08/2019	Incumbent
27-2022.00	1747	Adjust coaching techniques, based on the strengths and weaknesses of athletes.	Core	108.0	08/2019	Incumbent
27-2022.00	1750	Instruct individuals or groups in sports rules, game strategies, and performance principles, such as specific ways of moving the body, hands, or feet, to achieve desired results.	Core	108.0	08/2019	Incumbent
27-2022.00	1745	Plan strategies and choose team members for individual games or sports seasons.	Core	107.0	08/2019	Incumbent
27-2022.00	20115	Counsel student athletes on academic, athletic, and personal issues.	Core	108.0	08/2019	Incumbent
27-2022.00	1752	Evaluate athletes' skills and review performance records to determine their fitness and potential in a particular area of athletics.	Core	108.0	08/2019	Incumbent
27-2022.00	1753	Keep abreast of changing rules, techniques, technologies, and philosophies relevant to their sport.	Core	108.0	08/2019	Incumbent
27-2022.00	1756	Explain and enforce safety rules and regulations.	Core	108.0	08/2019	Incumbent
27-2022.00	20111	Contact the parents of players to provide information and answer questions.	Core	108.0	08/2019	Incumbent
27-2031.00	7686	Study and practice dance moves required in roles.	Core	53.0	08/2019	Incumbent
27-2031.00	7687	Harmonize body movements to rhythm of musical accompaniment.	Core	54.0	08/2019	Incumbent
27-2031.00	7685	Train, exercise, and attend dance classes to maintain high levels of technical proficiency, physical ability, and physical fitness.	Core	54.0	08/2019	Incumbent
27-2031.00	7690	Coordinate dancing with that of partners or dance ensembles.	Core	54.0	08/2019	Incumbent
27-2031.00	7693	Develop self-understanding of physical capabilities and limitations, and choose dance styles accordingly.	Core	54.0	08/2019	Incumbent
27-2031.00	7688	Perform classical, modern, or acrobatic dances in productions, expressing stories, rhythm, and sound with their bodies.	Core	54.0	08/2019	Incumbent
27-2031.00	7689	Collaborate with choreographers to refine or modify dance steps.	Core	54.0	08/2019	Incumbent
27-2031.00	7691	Attend costume fittings, photography sessions, and makeup calls associated with dance performances.	Core	54.0	08/2019	Incumbent
27-2031.00	7694	Monitor the field of dance to remain aware of current trends and innovations.	Core	53.0	08/2019	Incumbent
27-2041.00	22544	Use gestures to shape the music being played, communicating desired tempo, phrasing, tone, color, pitch, volume, and other performance aspects.	Core	78.0	08/2022	Incumbent
27-2041.00	22545	Direct groups at rehearsals and live or recorded performances to achieve desired effects such as tonal and harmonic balance dynamics, rhythm, and tempo.	Core	78.0	08/2022	Incumbent
27-2041.00	22546	Study scores to learn the music in detail, and to develop interpretations.	Core	77.0	08/2022	Incumbent
27-2041.00	22547	Apply elements of music theory to create musical and tonal structures, including harmonies and melodies.	Core	82.0	08/2022	Incumbent
27-2041.00	22548	Consider such factors as ensemble size and abilities, availability of scores, and the need for musical variety, to select music to be performed.	Core	78.0	08/2022	Incumbent
27-2041.00	22549	Determine voices, instruments, harmonic structures, rhythms, tempos, and tone balances required to achieve the effects desired in a musical composition.	Core	83.0	08/2022	Incumbent
27-2041.00	22550	Experiment with different sounds, and types and pieces of music, using synthesizers and computers as necessary to test and evaluate ideas.	Core	82.0	08/2022	Incumbent
27-2041.00	22551	Transcribe ideas for musical compositions into musical notation, using instruments, pen and paper, or computers.	Core	82.0	08/2022	Incumbent
27-2041.00	22553	Plan and schedule rehearsals and performances, and arrange details such as locations, accompanists, and instrumentalists.	Core	77.0	08/2022	Incumbent
27-2041.00	22555	Position members within groups to obtain balance among instrumental or vocal sections.	Core	78.0	08/2022	Incumbent
27-2042.00	22574	Perform before live audiences in concerts, recitals, educational presentations, and other social gatherings.	Core	95.0	08/2022	Incumbent
27-2042.00	22575	Sing a cappella or with musical accompaniment.	Core	54.0	08/2022	Incumbent
27-2042.00	22576	Interpret or modify music, applying knowledge of harmony, melody, rhythm, and voice production to individualize presentations and maintain audience interest.	Core	54.0	08/2022	Incumbent
27-2042.00	22577	Specialize in playing a specific family of instruments or a particular type of music.	Core	95.0	08/2022	Incumbent
27-2042.00	22578	Sing as a soloist or as a member of a vocal group.	Core	53.0	08/2022	Incumbent
27-2042.00	22579	Observe choral leaders or prompters for cues or directions in vocal presentation.	Core	54.0	08/2022	Incumbent
27-2042.00	22580	Memorize musical selections and routines, or sing following printed text, musical notation, or customer instructions.	Core	53.0	08/2022	Incumbent
27-2042.00	22581	Play musical instruments as soloists, or as members or guest artists of musical groups such as orchestras, ensembles, or bands.	Core	95.0	08/2022	Incumbent
27-2042.00	22582	Sight-read musical parts during rehearsals.	Core	94.0	08/2022	Incumbent
27-2042.00	22583	Play from memory or by following scores.	Core	95.0	08/2022	Incumbent
27-3011.00	3925	Read news flashes to inform audiences of important events.	Core	54.0	08/2025	Incumbent
27-3011.00	20887	Identify stations, and introduce or close shows, ad-libbing or using memorized or read scripts.	Core	54.0	08/2025	Incumbent
27-3011.00	3928	Study background information to prepare for programs or interviews.	Core	54.0	08/2025	Incumbent
27-3011.00	3924	Prepare and deliver news, sports, or weather reports, gathering and rewriting material so that it will convey required information and fit specific time slots.	Core	54.0	08/2025	Incumbent
27-3011.00	20888	Develop story lines for broadcasts.	Core	54.0	08/2025	Incumbent
27-3011.00	3927	Select program content, in conjunction with producers and assistants, based on factors such as program specialties, audience tastes, or requests from the public.	Core	52.0	08/2025	Incumbent
27-3011.00	3930	Interview show guests about their lives, their work, or topics of current interest.	Core	54.0	08/2025	Incumbent
27-3011.00	3929	Comment on music and other matters, such as weather or traffic conditions.	Core	54.0	08/2025	Incumbent
27-3011.00	3933	Make promotional appearances at public or private events to represent their employers.	Core	54.0	08/2025	Incumbent
27-3011.00	3942	Provide commentary and conduct interviews during sporting events, parades, conventions, or other events.	Core	54.0	08/2025	Incumbent
27-3041.00	1777	Read copy or proof to detect and correct errors in spelling, punctuation, and syntax.	Core	62.0	07/2017	Incumbent
27-3041.00	1780	Verify facts, dates, and statistics, using standard reference sources.	Core	62.0	07/2017	Incumbent
27-3041.00	1786	Read, evaluate and edit manuscripts or other materials submitted for publication, and confer with authors regarding changes in content, style or organization, or publication.	Core	62.0	07/2017	Incumbent
27-3041.00	1782	Develop story or content ideas, considering reader or audience appeal.	Core	62.0	07/2017	Incumbent
27-3041.00	1776	Prepare, rewrite and edit copy to improve readability, or supervise others who do this work.	Core	62.0	07/2017	Incumbent
27-3041.00	1783	Oversee publication production, including artwork, layout, computer typesetting, and printing, ensuring adherence to deadlines and budget requirements.	Core	62.0	07/2017	Incumbent
27-3041.00	21000	Write text, such as stories, articles, editorials, or newsletters.	Core	62.0	07/2017	Incumbent
27-3041.00	1789	Supervise and coordinate work of reporters and other editors.	Core	62.0	07/2017	Incumbent
27-3041.00	1784	Confer with management and editorial staff members regarding placement and emphasis of developing news stories.	Core	62.0	07/2017	Incumbent
27-3041.00	1779	Plan the contents of publications according to the publication's style, editorial policy, and publishing requirements.	Core	62.0	07/2017	Incumbent
27-3042.00	3966	Organize material and complete writing assignment according to set standards regarding order, clarity, conciseness, style, and terminology.	Core	89.0	07/2012	Incumbent
27-3042.00	3967	Maintain records and files of work and revisions.	Core	89.0	07/2012	Incumbent
27-3042.00	3968	Edit, standardize, or make changes to material prepared by other writers or establishment personnel.	Core	89.0	07/2012	Incumbent
27-3042.00	3971	Select photographs, drawings, sketches, diagrams, and charts to illustrate material.	Core	89.0	07/2012	Incumbent
27-3042.00	3973	Interview production and engineering personnel and read journals and other material to become familiar with product technologies and production methods.	Core	89.0	07/2012	Incumbent
27-3042.00	3976	Assist in laying out material for publication.	Core	89.0	07/2012	Incumbent
27-3042.00	3972	Study drawings, specifications, mockups, and product samples to integrate and delineate technology, operating procedure, and production sequence and detail.	Core	88.0	07/2012	Incumbent
27-3042.00	3975	Arrange for typing, duplication, and distribution of material.	Core	89.0	07/2012	Incumbent
27-3042.00	3974	Observe production, developmental, and experimental activities to determine operating procedure and detail.	Core	88.0	07/2012	Incumbent
27-3042.00	3970	Review published materials and recommend revisions or changes in scope, format, content, and methods of reproduction and binding.	Core	89.0	07/2012	Incumbent
27-3043.00	22656	Develop advertising campaigns for a wide range of clients, working with an advertising agency's creative director and art director to determine the best way to present advertising information.	Core	44.0	08/2022	Incumbent
27-3043.00	22655	Vary language and tone of messages based on product and medium.	Core	44.0	08/2022	Incumbent
27-3043.00	22654	Present drafts and ideas to clients.	Core	44.0	08/2022	Incumbent
27-3043.00	22653	Discuss with the client the product, advertising themes and methods, and any changes that should be made in advertising copy.	Core	44.0	08/2022	Incumbent
27-3043.00	22660	Review advertising trends, consumer surveys, and other data regarding marketing of goods and services to determine the best way to promote products.	Core	44.0	08/2022	Incumbent
27-3043.00	22657	Write articles, bulletins, sales letters, speeches, and other related informative, marketing and promotional material.	Core	44.0	08/2022	Incumbent
27-3091.00	9326	Follow ethical codes that protect the confidentiality of information.	Core	62.0	08/2021	Incumbent
27-3091.00	9328	Translate messages simultaneously or consecutively into specified languages, orally or by using hand signs, maintaining message content, context, and style as much as possible.	Core	62.0	08/2021	Incumbent
27-3091.00	9335	Listen to speakers' statements to determine meanings and to prepare translations, using electronic listening systems as necessary.	Core	58.0	08/2021	Incumbent
27-3091.00	9333	Compile terminology and information to be used in translations, including technical terms such as those for legal or medical material.	Core	60.0	08/2021	Incumbent
27-3091.00	9332	Refer to reference materials, such as dictionaries, lexicons, encyclopedias, and computerized terminology banks, as needed to ensure translation accuracy.	Core	60.0	08/2021	Incumbent
27-3091.00	9330	Check translations of technical terms and terminology to ensure that they are accurate and remain consistent throughout translation revisions.	Core	59.0	08/2021	Incumbent
27-3091.00	9327	Identify and resolve conflicts related to the meanings of words, concepts, practices, or behaviors.	Core	59.0	08/2021	Incumbent
27-3091.00	9337	Compile information on content and context of information to be translated and on intended audience.	Core	58.0	08/2021	Incumbent
27-3092.00	8655	Record verbatim proceedings of courts, legislative assemblies, committee meetings, and other proceedings, using computerized recording equipment, electronic stenograph machines, or stenomasks.	Core	63.0	08/2020	Incumbent
27-3092.00	21183	Proofread transcripts for correct spelling of words.	Core	62.0	08/2020	Incumbent
27-3092.00	8657	Ask speakers to clarify inaudible statements.	Core	63.0	08/2020	Incumbent
27-3092.00	8654	Provide transcripts of proceedings upon request of judges, lawyers, or the public.	Core	63.0	08/2020	Incumbent
27-3092.00	8656	Transcribe recorded proceedings in accordance with established formats.	Core	63.0	08/2020	Incumbent
27-3092.00	21184	Log and store exhibits from court proceedings.	Core	64.0	08/2020	Incumbent
27-3092.00	8659	File and store shorthand notes of court session.	Core	63.0	08/2020	Incumbent
27-3092.00	8658	File a legible transcript of records of a court case with the court clerk's office.	Core	62.0	08/2020	Incumbent
27-3092.00	8662	Verify accuracy of transcripts by checking copies against original records of proceedings and accuracy of rulings by checking with judges.	Core	62.0	08/2020	Incumbent
27-3092.00	8660	Respond to requests during court sessions to read portions of the proceedings already recorded.	Core	61.0	08/2020	Incumbent
27-4011.00	3980	Notify supervisors when major equipment repairs are needed.	Core	70.0	08/2018	Incumbent
27-4011.00	18650	Diagnose and resolve media system problems.	Core	68.0	08/2018	Incumbent
27-4011.00	3993	Direct and coordinate activities of assistants and other personnel during production.	Core	69.0	08/2018	Incumbent
27-4011.00	3990	Compress, digitize, duplicate, and store audio and video data.	Core	69.0	08/2018	Incumbent
27-4011.00	18649	Install, adjust, and operate electronic equipment to record, edit, and transmit radio and television programs, motion pictures, video conferencing, or multimedia presentations.	Core	70.0	08/2018	Incumbent
27-4011.00	3987	Switch sources of video input from one camera or studio to another, from film to live programming, or from network to local programming.	Core	69.0	08/2018	Incumbent
27-4011.00	3997	Record and edit audio material, such as movie soundtracks, using audio recording and editing equipment.	Core	69.0	08/2018	Incumbent
27-4011.00	3985	Perform minor repairs and routine cleaning of audio and video equipment.	Core	69.0	08/2018	Incumbent
27-4011.00	3984	Design layouts of audio and video equipment and perform upgrades and maintenance.	Core	68.0	08/2018	Incumbent
27-4011.00	4003	Conduct training sessions on selection, use, and design of audio-visual materials and on operation of presentation equipment.	Core	68.0	08/2018	Incumbent
27-4012.00	4014	Report equipment problems, ensure that repairs are made, and make emergency repairs to equipment when necessary and possible.	Core	65.0	08/2019	Incumbent
27-4012.00	18653	Monitor and log transmitter readings.	Core	66.0	08/2019	Incumbent
27-4012.00	4007	Maintain programming logs as required by station management and the Federal Communications Commission.	Core	66.0	08/2019	Incumbent
27-4012.00	4009	Monitor strength, clarity, and reliability of incoming and outgoing signals, and adjust equipment as necessary to maintain quality broadcasts.	Core	66.0	08/2019	Incumbent
27-4012.00	4011	Observe monitors and converse with station personnel to determine audio and video levels and to ascertain that programs are airing.	Core	66.0	08/2019	Incumbent
27-4012.00	4012	Preview scheduled programs to ensure that signals are functioning and programs are ready for transmission.	Core	66.0	08/2019	Incumbent
27-4012.00	18654	Play and record broadcast programs, using automation systems.	Core	65.0	08/2019	Incumbent
27-4012.00	18655	Set up, operate, and maintain broadcast station computers and networks.	Core	66.0	08/2019	Incumbent
27-4012.00	4017	Substitute programs in cases where signals fail.	Core	65.0	08/2019	Incumbent
27-4012.00	4008	Control audio equipment to regulate volume and sound quality during radio and television broadcasts.	Core	66.0	08/2019	Incumbent
27-4031.00	4031	Compose and frame each shot, applying the technical aspects of light, lenses, film, filters, and camera settings to achieve the effects sought by directors.	Core	57.0	08/2019	Incumbent
27-4031.00	4030	Operate television or motion picture cameras to record scenes for television broadcasts, advertising, or motion pictures.	Core	56.0	08/2019	Incumbent
27-4031.00	4035	Adjust positions and controls of cameras, printers, and related equipment to change focus, exposure, and lighting.	Core	56.0	08/2019	Incumbent
27-4031.00	4037	Confer with directors, sound and lighting technicians, electricians, and other crew members to discuss assignments and determine filming sequences, desired effects, camera movements, and lighting requirements.	Core	56.0	08/2019	Incumbent
27-4031.00	4032	Operate zoom lenses, changing images according to specifications and rehearsal instructions.	Core	57.0	08/2019	Incumbent
27-4031.00	4038	Observe sets or locations for potential problems and to determine filming and lighting requirements.	Core	57.0	08/2019	Incumbent
27-4031.00	18664	Set up and perform live shots for broadcast.	Core	56.0	08/2019	Incumbent
27-4031.00	4033	Use cameras in any of several different camera mounts, such as stationary, track-mounted, or crane-mounted.	Core	57.0	08/2019	Incumbent
27-4031.00	18666	Test, clean, maintain, and repair broadcast equipment, including testing microphones, to ensure proper working condition.	Core	57.0	08/2019	Incumbent
27-4032.00	4057	Organize and string together raw footage into a continuous whole according to scripts or the instructions of directors and producers.	Core	57.0	08/2020	Incumbent
27-4032.00	4052	Edit films and videotapes to insert music, dialogue, and sound effects, to arrange films into sequences, and to correct errors, using editing equipment.	Core	55.0	08/2020	Incumbent
27-4032.00	4053	Select and combine the most effective shots of each scene to form a logical and smoothly running story.	Core	56.0	08/2020	Incumbent
27-4032.00	4060	Review footage sequence by sequence to become familiar with it before assembling it into a final product.	Core	57.0	08/2020	Incumbent
27-4032.00	4061	Set up and operate computer editing systems, electronic titling systems, video switching equipment, and digital video effects units to produce a final product.	Core	57.0	08/2020	Incumbent
27-4032.00	4050	Cut shot sequences to different angles at specific points in scenes, making each individual cut as fluid and seamless as possible.	Core	56.0	08/2020	Incumbent
27-4032.00	4058	Review assembled films or edited videotapes on screens or monitors to determine if corrections are necessary.	Core	57.0	08/2020	Incumbent
27-4032.00	4056	Verify key numbers and time codes on materials.	Core	56.0	08/2020	Incumbent
27-4032.00	4064	Manipulate plot, score, sound, and graphics to make the parts into a continuous whole, working closely with people in audio, visual, music, optical, or special effects departments.	Core	56.0	08/2020	Incumbent
27-4032.00	4051	Study scripts to become familiar with production concepts and requirements.	Core	55.0	08/2020	Incumbent
